layer,sequences,time_us
lm_head,1,7.3618749999999995
lm_head,2,14.391250000000003
lm_head,4,28.06125
lm_head,8,54.4475
lm_head,16,107.22000000000003
lm_head,32,181.11499999999998
lm_head,64,339.1049999999999
lm_head,128,676.4850000000001
lm_head,256,1177.9575
sampler,1,0.0741875
sampler,2,0.148375
sampler,4,0.29675
sampler,8,0.5935
sampler,16,1.187
sampler,32,2.374
sampler,64,4.748
sampler,128,9.496
sampler,256,18.992
