layer,tokens,time_us
embedding,1,0.0012218403970981292
embedding,2,0.0024436807941962584
embedding,4,0.004887361588392517
embedding,8,0.009774723176785034
embedding,16,0.019549446353570067
embedding,32,0.039098892707140134
embedding,64,0.07819778541428027
embedding,128,0.15639557082856054
embedding,256,0.3127911416571211
embedding,512,0.6255822833142421
embedding,1024,1.2511645666284843
embedding,2048,2.5023291332569686
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,7.51004200076365
qkv_proj,2,7.666666666666667
qkv_proj,4,7.669945355191256
qkv_proj,8,7.677049180327868
qkv_proj,16,7.71912568306011
qkv_proj,32,7.776502732240436
qkv_proj,64,7.943169398907104
qkv_proj,128,8.365027322404371
qkv_proj,256,11.046448087431694
qkv_proj,512,19.224590163934426
qkv_proj,1024,36.57213114754098
qkv_proj,2048,71.2672131147541
rotary_emb,1,0.0030546009927453223
rotary_emb,2,0.006109201985490645
rotary_emb,4,0.01221840397098129
rotary_emb,8,0.02443680794196258
rotary_emb,16,0.04887361588392516
rotary_emb,32,0.09774723176785031
rotary_emb,64,0.19549446353570063
rotary_emb,128,0.39098892707140126
rotary_emb,256,0.7819778541428025
rotary_emb,512,1.563955708285605
rotary_emb,1024,3.12791141657121
rotary_emb,2048,6.25582283314242
o_proj,1,5.007101947308133
o_proj,2,5.14863387978142
o_proj,4,5.1519125683060105
o_proj,8,5.159016393442623
o_proj,16,5.192349726775956
o_proj,32,5.240983606557377
o_proj,64,5.398907103825136
o_proj,128,5.733333333333333
o_proj,256,7.885792349726776
o_proj,512,13.44207650273224
o_proj,1024,25.00710382513661
o_proj,2048,48.137158469945355
gate_up_proj,1,35.042382588774345
gate_up_proj,2,35.2983606557377
gate_up_proj,4,35.302185792349725
gate_up_proj,8,35.37103825136612
gate_up_proj,16,35.44808743169399
gate_up_proj,32,35.60218579234973
gate_up_proj,64,35.93005464480874
gate_up_proj,128,36.82185792349727
gate_up_proj,256,43.88251366120219
gate_up_proj,512,82.83224043715848
gate_up_proj,1024,163.78743169398908
gate_up_proj,2048,325.69781420765025
act_fn,1,42.557716369628906
act_fn,2,41.618943214416504
act_fn,4,41.51463508605957
act_fn,8,41.931867599487305
act_fn,16,41.51463508605957
act_fn,32,40.9930944442749
act_fn,64,41.82755947113037
act_fn,128,41.72325134277344
act_fn,256,42.34910011291504
act_fn,512,51.73683166503906
act_fn,1024,69.78213787078857
act_fn,2048,105.97705841064453
down_proj,1,17.52180221458572
down_proj,2,17.728961748633882
down_proj,4,17.73825136612022
down_proj,8,17.7879781420765
down_proj,16,17.882513661202186
down_proj,32,18.01857923497268
down_proj,64,18.34535519125683
down_proj,128,18.985792349726776
down_proj,256,23.801639344262295
down_proj,512,42.94207650273224
down_proj,1024,82.00874316939891
down_proj,2048,160.14207650273224
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
