layer,sequences,time_us
lm_head,1,3057.1630000000323
lm_head,2,3057.1630000000323
lm_head,4,3057.1630000000323
lm_head,8,3057.1630000000323
lm_head,16,3057.1630000000323
lm_head,32,3057.1630000000323
lm_head,64,3711.4689999999614
lm_head,128,3790.3840000001105
lm_head,256,4490.490333333333
sampler,1,0.062625
sampler,2,0.12525
sampler,4,0.2505
sampler,8,0.501
sampler,16,1.002
sampler,32,2.004
sampler,64,4.008
sampler,128,8.016
sampler,256,16.032
