layer,sequences,time_us
lm_head,1,24.068125000000002
lm_head,2,46.46125000000001
lm_head,4,91.24750000000002
lm_head,8,180.82
lm_head,16,359.9650000000001
lm_head,32,679.405
lm_head,64,1335.685
lm_head,128,2669.645
lm_head,256,5166.2775
sampler,1,0.0741875
sampler,2,0.148375
sampler,4,0.29675
sampler,8,0.5935
sampler,16,1.187
sampler,32,2.374
sampler,64,4.748
sampler,128,9.496
sampler,256,18.992
